                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7275,                 3.7864,                 1.7417,                0.00444,                0.66667,                0.00487,                 0.0029,                 1.0372,                  3.731,                 1.3545,                  0.073,                  0.003,                  0.003
                      1,                  1.495,                 3.5763,                 1.4673,                0.00611,                0.91667,                0.01666,                0.00544,                 1.1462,                 3.5854,                 1.2863,                0.04504,              0.0060396,              0.0060396
                      2,                 1.4472,                  3.189,                 1.4331,                0.00667,                      1,                  0.177,                 0.0478,                 1.3823,                 3.2648,                 1.6098,               0.017018,              0.0090178,              0.0090178
                      3,                 1.5304,                 2.6987,                 1.5787,                0.56796,                0.58333,                0.52721,                0.16511,                 1.3093,                 2.6876,                 1.6544,               0.009703,               0.009703,               0.009703
                      4,                 1.4478,                 2.6958,                 1.4769,                 0.6517,                0.66667,                0.57589,                0.17204,                 1.7041,                 2.9807,                 2.0554,               0.009703,               0.009703,               0.009703
                      5,                  1.474,                 2.3852,                 1.4126,                0.62152,                0.54931,                0.49976,                0.20083,                 1.3555,                 2.4085,                 1.4085,               0.009604,               0.009604,               0.009604
                      6,                 1.3485,                 2.5921,                 1.3028,                0.38038,                0.58333,                0.41638,                0.17748,                 1.1943,                 2.5518,                 1.2805,               0.009505,               0.009505,               0.009505
                      7,                 1.3832,                 2.2255,                 1.3252,                0.59435,                0.73351,                0.55359,                0.24034,                 1.3732,                 2.5733,                 1.5045,               0.009406,               0.009406,               0.009406
                      8,                 1.3601,                 2.1259,                 1.2871,                0.38875,                0.58333,                0.40809,                0.17065,                 1.3161,                 2.5909,                 1.3575,               0.009307,               0.009307,               0.009307
                      9,                  1.281,                 1.9762,                  1.246,                0.10072,                0.33333,                0.07772,                 0.0403,                  1.731,                 3.3646,                 1.7455,               0.009208,               0.009208,               0.009208
                     10,                 1.2005,                 1.8021,                 1.1847,                0.21868,                0.66667,                0.21849,                0.11591,                 1.4535,                 2.7198,                 1.6098,               0.009109,               0.009109,               0.009109
                     11,                 1.2671,                 1.9785,                 1.2174,                0.50409,                0.66667,                0.55316,                0.36052,                 1.2545,                  1.863,                 1.3636,                0.00901,                0.00901,                0.00901
                     12,                 1.3677,                 1.9955,                 1.3091,                 0.7819,                0.66667,                0.75319,                0.26929,                 1.3362,                 2.4113,                 1.4051,               0.008911,               0.008911,               0.008911
                     13,                 1.2888,                 1.8755,                 1.2521,                  0.538,                0.66667,                0.66157,                 0.3188,                 1.2264,                 2.1362,                 1.3319,               0.008812,               0.008812,               0.008812
                     14,                  1.334,                 1.9507,                 1.2865,                0.65302,                0.83333,                0.70959,                0.35378,                 1.3749,                 1.6791,                 1.5187,               0.008713,               0.008713,               0.008713
                     15,                 1.3619,                 1.9817,                 1.3266,                0.63909,                0.33333,                0.48215,                0.25288,                 1.2503,                 2.1311,                 1.3123,               0.008614,               0.008614,               0.008614
                     16,                 1.3487,                 1.9837,                 1.3025,                0.78784,                0.41667,                0.61243,                0.31573,                 1.2623,                 2.0745,                 1.2948,               0.008515,               0.008515,               0.008515
                     17,                 1.3982,                 1.9741,                 1.3814,                0.63802,                0.73534,                0.69901,                0.34546,                 1.3938,                 1.6491,                 1.4582,               0.008416,               0.008416,               0.008416
                     18,                 1.2855,                 1.7176,                 1.2772,                0.64977,                0.83333,                0.75693,                0.33787,                 1.5175,                 2.0074,                 1.5968,               0.008317,               0.008317,               0.008317
